ean	record_status	qhr	bnc_peer_oh	bnc_peer_oo	bnc_peer_asp	bnc_peer_stores	bnc_all_asp	bs_sales_4week	bnc_peer_sales_4week	bnc_all_sales_4week	bnc_all_sales_total	sortby	timestamp
9780141035703	A		4	0	0.00	4	0.00	0	0	2	1518	4	201304072316
9780141035796	A		15	0	0.00	7	11.81	0	3	16	827	18	201304072316
9780141036113	A		2	0	0.00	2	20.00	0	0	1	338	2	201304072316
9780141036137	A		19	3	10.99	8	10.75	0	7	569	41347	29	201304072316
9780141036144	A		26	1	10.99	8	10.36	2	11	1150	78702	38	201304072316
9780141036731	A		1	0	0.00	1	0.00	0	0	0	643	1	201304072316
9780141036939	A		13	0	0.00	8	18.00	0	1	14	715	14	201304072316
9780141038025	A		4	0	0.00	2	18.00	0	0	4	88	4	201304072316
9780141038469	A		9	1	0.00	6	8.58	0	1	224	13795	11	201304072316
9780141039251	A		1	0	0.00	1	18.00	0	0	1	899	1	201304072316
9780141039497	A		1	0	0.00	1	0.00	0	0	4	173	1	201304072316
9780141040264	A		1	0	0.00	1	0.00	0	0	0	413	1	201304072316
9780141040288	A		3	2	34.00	4	32.86	0	2	100	6867	7	201304072316
9780141041575	A		1	0	0.00	1	0.00	0	0	3	110	1	201304072316
9780141042206	A		59	0	15.60	8	15.38	0	13	78	78	72	201304072316
9780141043609	A		1	0	0.00	1	0.00	0	0	0	708	1	201304072316
9780141043791	A		3	0	0.00	3	19.56	0	0	5	442	3	201304072316
9780141044668	A		5	0	31.00	4	25.55	2	3	36	1035	8	201304072316
9780141046013	A		1	0	0.00	1	17.05	0	0	6	519	1	201304072316
9780141046839	A		1	0	0.00	1	0.00	0	0	0	291	1	201304072316
9780141047218	A		3	0	0.00	3	0.00	0	1	9	50	4	201304072316
9780141048482	A		6	0	0.00	4	15.23	0	0	56	2173	6	201304072316
9780141048864	A		7	4	0.00	7	20.77	0	0	73	945	11	201304072316
9780141180359	A		2	0	0.00	2	0.00	0	0	1	138	2	201304072316
9780141180632	A		1	0	0.00	1	0.00	0	0	2	340	1	201304072316
9780141181424	A		5	0	0.00	4	0.00	0	0	1	1151	5	201304072316
9780141182490	A		9	0	0.00	7	14.44	0	0	27	4208	9	201304072316
9780141182506	A		4	0	0.00	3	18.23	0	0	15	6499	4	201304072316
9780141182605	A		8	2	17.50	6	17.21	1	5	96	21566	15	201304072316
9780141182704	A		4	0	0.00	3	16.16	0	0	21	4886	4	201304072316
9780141182711	A		2	0	0.00	2	13.29	0	0	3	601	2	201304072316
9780141182803	A		11	0	0.00	7	19.21	0	0	29	7100	11	201304072316
9780141183053	A		3	0	16.99	3	13.60	0	2	12	267	5	201304072316
9780141183190	A		2	0	0.00	2	16.99	0	0	2	258	2	201304072316
9780141183541	A		1	0	0.00	1	0.00	0	0	0	132	1	201304072316
9780141183633	A		1	0	0.00	1	0.00	0	0	0	187	1	201304072316
9780141184388	A		9	0	0.00	7	16.15	0	0	5	617	9	201304072316
9780141184746	A		3	0	0.00	2	0.00	0	0	3	348	3	201304072316
9780141185323	A		3	0	0.00	3	19.55	0	0	1	113	3	201304072316
9780141185699	A		4	0	0.00	3	0.00	0	0	1	474	4	201304072316
9780141185859	A		1	0	0.00	1	0.00	0	0	0	122	1	201304072316
9780141187761	A		7	0	0.00	5	17.07	0	1	41	7140	8	201304072316
9780141191133	A		1	0	0.00	1	17.59	0	0	3	210	1	201304072316
9780141191508	A		1	0	0.00	1	11.86	0	0	4	51	1	201304072316
9780141192222	A		3	0	0.00	2	0.00	0	0	0	15	3	201304072316
9780141192321	A		5	0	0.00	3	0.00	0	1	8	77	6	201304072316
9780141192567	A		2	0	0.00	2	0.00	0	0	0	382	2	201304072316
9780141195568	A		6	0	0.00	5	0.00	1	2	8	61	8	201304072316
9780141195575	A		1	1	0.00	2	0.00	0	1	4	39	3	201304072316
9780141195902	A		2	0	0.00	2	0.00	0	0	0	118	2	201304072316
9780141196077	A		6	0	0.00	3	0.00	0	0	0	173	6	201304072316
9780141196565	A		0	10	0.00	6	0.00	0	0	0	0	10	201304072316
9780141197319	A		3	0	0.00	3	0.00	0	0	0	39	3	201304072316
9780141197333	A		3	0	0.00	3	27.38	0	0	2	226	3	201304072316
9780141301525	A		1	0	0.00	1	0.00	0	0	0	26	1	201304072316
9780141304700	A		5	0	7.65	6	8.23	1	4	74	10969	9	201304072316
9780141306698	A		1	0	0.00	1	0.00	1	0	1	1268	2	201304072316
9780141312422	A		3	0	9.50	4	9.63	1	2	8	2927	5	201304072316
9780141321004	A		7	0	4.40	5	5.32	1	3	50	5556	10	201304072316
9780141321011	A		4	0	0.00	3	5.74	0	0	36	4923	4	201304072316
9780141321035	A		4	0	0.00	4	5.93	0	1	37	3876	5	201304072316
9780141321042	A		8	0	0.00	5	5.45	0	4	49	5984	12	201304072316
9780141321059	A		3	0	0.00	3	5.78	1	1	43	3905	4	201304072316
9780141321080	A		7	0	5.50	5	5.33	0	3	64	7479	10	201304072316
9780141321097	A		6	0	5.13	5	5.35	0	4	38	4328	10	201304072316
9780141321608	A		4	0	0.00	4	5.88	0	0	6	1534	4	201304072316
9780141321615	A		4	0	0.00	4	4.75	0	0	13	1269	4	201304072316
9780141321622	A		3	0	0.00	3	5.66	0	2	21	2260	5	201304072316
9780141322131	A		7	0	0.00	3	7.81	0	0	12	153	7	201304072316
9780141322537	A		3	0	0.00	2	14.67	0	0	2	880	3	201304072316
9780141322643	A		16	0	8.50	7	8.28	2	3	88	1397	19	201304072316
9780141322667	A		14	1	0.00	6	8.18	1	8	408	2860	23	201304072316
9780141323138	A		1	0	0.00	1	0.00	0	0	0	47	1	201304072316
9780141325019	A		8	0	0.00	5	10.50	0	5	89	5503	13	201304072316
9780141325033	A		6	0	10.99	6	10.61	0	2	56	3171	8	201304072316
9780141325064	A		5	0	10.99	6	10.70	0	2	73	1512	7	201304072316
9780141325286	A		6	0	5.99	3	5.68	0	6	69	6336	12	201304072316
9780141325293	A		4	0	0.00	4	5.90	0	1	15	2148	5	201304072316
9780141326931	A		3	0	0.00	2	0.00	0	0	1	886	3	201304072316
9780141327792	A		6	0	0.00	1	5.55	0	0	7	1023	6	201304072316
9780141328065	A		7	0	0.00	4	0.00	0	2	4	239	9	201304072316
9780141328584	A		4	0	12.99	4	12.85	1	2	9	591	6	201304072316
9780141329390	A		5	0	5.99	5	5.99	0	1	1	41	6	201304072316
9780141329659	A		1	0	0.00	1	0.00	0	0	0	33	1	201304072316
9780141329666	A		2	0	0.00	2	0.00	0	0	0	337	2	201304072316
9780141330594	A		2	0	0.00	2	0.00	0	0	0	41	2	201304072316
9780141330600	A		1	0	0.00	1	0.00	0	0	0	20	1	201304072316
9780141331119	A		0	0	5.39	1	5.55	1	1	7	284	1	201304072316
9780141331829	A		2	0	0.00	2	0.00	0	0	0	122	2	201304072316
9780141332482	A		4	0	0.00	3	5.81	0	0	21	498	4	201304072316
9780141332598	A		3	0	0.00	3	5.56	0	1	30	615	4	201304072316
9780141333373	A		3	0	0.00	2	0.00	0	0	0	137	3	201304072316
9780141334004	A		1	0	0.00	1	0.00	0	0	0	18	1	201304072316
9780141334424	A		3	0	0.00	2	11.26	0	0	7	291	3	201304072316
9780141334899	A		0	0	0.00	0	0.00	0	0	0	43	0	201304072316
9780141335582	A		3	0	0.00	3	0.00	0	0	1	65	3	201304072316
9780141336121	A		8	3	21.99	7	20.84	0	1	78	1207	12	201304072316
9780141337715	A		10	1	0.00	7	18.00	0	2	4	55	13	201304072316
9780141337753	A		5	0	0.00	5	0.00	0	0	0	128	5	201304072316
9780141338330	A		1	0	0.00	1	0.00	0	0	1	256	1	201304072316
9780141339269	A		7	0	0.00	7	18.73	0	1	47	922	8	201304072316
9780141340098	A		9	0	0.00	3	0.00	0	2	6	152	11	201304072316
9780141340593	A		4	0	10.80	3	10.80	0	1	1	21	5	201304072316
9780141340630	A		1	0	0.00	1	10.75	0	0	5	68	1	201304072316
9780141340869	A		5	0	0.00	4	5.99	0	0	8	120	5	201304072316
9780141341705	A		5	0	16.20	5	16.20	0	1	5	52	6	201304072316
9780141341729	A		5	1	0.00	5	0.00	0	1	2	90	7	201304072316
9780141341736	A		13	0	17.10	7	17.12	0	5	36	292	18	201304072316
9780141341965	A		6	0	5.99	5	5.83	0	3	27	284	9	201304072316
9780141342696	A		3	0	0.00	3	0.00	0	0	5	146	3	201304072316
9780141343365	A		5	0	0.00	4	12.85	1	0	17	438	5	201304072316
9780141343631	A		1	0	0.00	1	0.00	1	0	0	12	2	201304072316
9780141344256	A		1	0	0.00	1	0.00	0	0	0	0	1	201304072316
9780141391816	A		5	0	0.00	5	16.00	0	0	11	131	5	201304072316
9780141399713	A		0	6	0.00	6	0.00	0	0	0	0	6	201304072316
9780141439495	A		4	0	0.00	4	0.00	0	0	0	1154	4	201304072316
9780141439518	A		10	0	10.00	5	9.33	0	3	35	9377	13	201304072316
9780141439549	A		8	0	0.00	5	10.72	0	0	2	1044	8	201304072316
9780141439556	A		16	0	8.50	6	7.87	0	1	37	6392	17	201304072316
9780141439563	A		8	0	0.00	5	9.95	0	1	18	3819	9	201304072316
9780141439570	A		10	0	0.00	7	9.74	0	2	82	7105	12	201304072316
9780141439587	A		7	0	0.00	4	8.99	0	0	1	1708	7	201304072316
9780141439617	A		1	0	0.00	1	0.00	0	0	0	590	1	201304072316
9780141439686	A		6	1	6.99	5	6.99	0	2	2	2736	9	201304072316
9780141439839	A		1	0	0.00	1	10.85	0	0	4	455	1	201304072316
9780141441023	A		4	0	0.00	3	10.76	0	0	5	681	4	201304072316
9780141441146	A		7	1	8.99	4	8.99	1	3	6	977	11	201304072316
9780141441542	A		1	0	0.00	1	12.70	0	0	1	401	1	201304072316
9780141442327	A		5	0	0.00	4	12.90	0	0	13	99	5	201304072316
9780141442433	A		8	0	0.00	6	13.99	0	0	1	29	8	201304072316
9780141500140	A		4	0	0.00	3	14.00	1	0	1	765	4	201304072316
9780141501314	A		1	0	0.00	1	0.00	0	0	0	33	1	201304072316
9780141502519	A		2	0	0.00	1	0.00	0	0	0	276	2	201304072316
9780141502526	A		8	0	0.00	4	0.00	0	0	0	273	8	201304072316
9780141975214	A		10	1	0.00	6	8.80	0	1	133	1395	12	201304072316
9780142000045	A		1	0	0.00	1	0.00	0	0	0	0	1	201304072316
9780142000281	A		11	3	0.00	8	16.69	1	5	372	49015	19	201304072316
9780142000663	A		10	2	0.00	7	18.29	0	1	100	8715	13	201304072316
9780142000670	A		5	0	16.50	5	16.00	0	2	30	3256	7	201304072316
9780142000694	A		4	0	0.00	4	15.65	0	0	8	2046	4	201304072316
9780142000700	A		2	0	0.00	2	16.63	0	0	2	1205	2	201304072316
9780142001103	A		1	0	0.00	1	16.27	0	1	61	10752	2	201304072316
9780142001233	A		1	0	0.00	1	0.00	0	0	0	2	1	201304072316
9780142001431	A		10	0	15.30	6	16.08	0	3	32	7238	13	201304072316
9780142001745	A		11	0	0.00	8	16.82	0	1	121	100692	12	201304072316
9780142002575	A		3	0	0.00	1	0.00	0	0	1	153	3	201304072316
9780142002643	A		1	0	0.00	1	17.12	0	0	1	381	1	201304072316
9780142003442	A		2	2	0.00	3	20.54	1	3	28	4410	7	201304072316
9780142004234	A		9	1	0.00	6	19.44	0	2	84	19030	12	201304072316
9780142004333	A		5	1	0.00	6	16.79	0	3	61	2510	9	201304072316
9780142005255	A		1	0	0.00	1	36.68	0	0	1	300	1	201304072316
9780142180112	A		1	0	0.00	1	0.00	0	0	0	31	1	201304072316
9780142196120	A		7	0	0.00	4	21.00	2	0	2	1336	7	201304072316
9780142196588	A		3	0	0.00	3	22.49	0	0	17	18448	3	201304072316
9780142196724	A		5	0	0.00	3	15.42	0	0	103	15868	5	201304072316
9780142196861	A		2	0	13.60	2	15.62	1	1	3	3	3	201304072316
9780142301890	A		5	0	7.99	4	7.99	0	4	4	326	9	201304072316
9780142400012	A		1	0	0.00	1	0.00	0	0	3	1972	1	201304072316
9780142401941	A		3	0	0.00	2	0.00	0	1	16	1776	4	201304072316
9780142401972	A		4	3	0.00	4	9.39	0	1	111	10862	8	201304072316
9780142402498	A		13	0	6.65	4	6.75	0	7	94	10014	20	201304072316
9780142402511	A		29	9	10.69	8	10.67	2	40	4056	21448	78	201304072316
9780142402726	A		2	0	0.00	1	0.00	0	0	0	127	2	201304072316
9780142402863	A		2	0	0.00	2	6.39	0	0	3	131	2	201304072316
9780142403525	A		5	2	0.00	3	6.92	0	1	31	1933	8	201304072316
9780142404034	A		7	5	0.00	4	8.13	0	5	50	5957	17	201304072316
9780142406137	A		6	0	0.00	5	10.15	0	1	100	20346	7	201304072316
9780142406632	A		14	2	8.55	6	9.14	0	10	425	32654	26	201304072316
9780142406984	A		5	0	9.50	3	9.50	0	1	1	900	6	201304072316
9780142407493	A		5	2	7.19	3	8.15	0	4	15	3192	11	201304072316
9780142408421	A		13	0	7.60	5	9.13	0	8	249	20405	21	201304072316
9780142408698	A		4	0	0.00	3	9.00	0	1	4	1056	5	201304072316
9780142408803	A		8	0	7.50	6	7.25	0	4	159	15017	12	201304072316
9780142409336	A		2	0	0.00	2	0.00	0	0	0	400	2	201304072316
9780142409855	A		0	0	0.00	0	24.52	0	0	2	404	0	201304072316
9780142410318	A		17	3	7.99	8	7.22	1	11	370	28505	31	201304072316
9780142410325	A		5	2	0.00	3	8.69	0	2	92	10711	9	201304072316
9780142410332	A		9	0	8.50	5	8.26	1	6	142	15090	15	201304072316
9780142410349	A		12	0	0.00	5	7.34	1	7	186	17179	19	201304072316
9780142410387	A		15	2	6.79	8	7.73	0	10	306	22674	27	201304072316
9780142410394	A		12	0	8.08	7	8.15	2	5	155	13636	17	201304072316
9780142410707	A		19	2	10.99	8	10.66	1	16	1558	16847	37	201304072316
9780142410752	A		8	0	8.55	5	9.07	0	6	207	16516	14	201304072316
9780142410912	A		3	0	8.50	3	8.18	0	3	148	15476	6	201304072316
9780142411148	A		7	0	0.00	4	13.01	0	1	56	14298	8	201304072316
9780142411421	A		2	0	0.00	2	7.30	0	0	27	10826	2	201304072316
9780142411841	A		3	0	0.00	2	0.00	0	0	25	7139	3	201304072316
9780142411902	A		2	0	0.00	2	0.00	0	0	0	302	2	201304072316
9780142412329	A		3	0	0.00	3	0.00	0	0	0	333	3	201304072316
9780142412602	A		1	0	0.00	1	0.00	0	0	0	24	1	201304072316
9780142413401	A		8	0	8.99	5	9.52	0	5	201	14748	13	201304072316
9780142413432	A		2	0	0.00	1	0.00	0	0	1	599	2	201304072316
9780142413821	A		4	0	0.00	3	7.39	1	2	9	2012	6	201304072316
9780142413852	A		7	0	7.50	5	7.63	1	5	54	4358	12	201304072316
9780142413883	A		1	0	0.00	1	0.00	0	0	0	402	1	201304072316
9780142413906	A		2	0	0.00	2	0.00	0	0	0	280	2	201304072316
9780142414330	A		2	0	0.00	2	9.66	1	2	22	4604	4	201304072316
9780142414507	A		1	0	0.00	1	0.00	0	0	1	123	1	201304072316
9780142414729	A		10	1	0.00	8	10.67	0	3	309	38278	14	201304072316
9780142414798	A		2	0	0.00	1	0.00	0	0	0	65	2	201304072316
9780142414934	A		20	1	10.99	8	10.67	2	19	1941	22985	40	201304072316
9780142414972	A		1	0	0.00	1	33.64	0	0	27	1348	1	201304072316
9780142415177	A		2	0	0.00	2	0.00	0	0	0	213	2	201304072316
9780142415245	A		7	0	0.00	4	8.52	0	0	153	10875	7	201304072316
9780142415252	A		9	0	0.00	4	9.66	0	0	155	5609	9	201304072316
9780142415573	A		2	0	0.00	2	11.26	0	2	85	5388	4	201304072316
9780142415917	A		6	0	8.79	5	10.55	0	2	210	9192	8	201304072316
9780142416372	A		1	0	0.00	1	0.00	0	0	0	172	1	201304072316
9780142416884	A		4	0	0.00	3	5.48	0	0	17	1271	4	201304072316
9780142417195	A		7	1	7.99	5	9.49	0	1	96	8095	9	201304072316
9780142417409	A		6	0	0.00	5	12.02	0	1	86	4457	7	201304072316
9780142417744	A		2	0	0.00	2	0.00	0	0	2	1343	2	201304072316
9780142417751	A		4	1	6.80	3	8.00	0	3	31	1602	8	201304072316
9780142418208	A		5	0	0.00	3	10.79	0	0	2	427	5	201304072316
9780142418475	A		12	0	10.99	7	10.66	0	9	695	10170	21	201304072316
9780142418574	A		12	0	0.00	6	9.03	0	0	147	5475	12	201304072316
9780142418727	A		4	0	0.00	3	7.86	0	1	10	1143	5	201304072316
9780142418895	A		4	1	8.50	3	8.08	1	6	61	1517	11	201304072316
9780142419052	A		1	0	0.00	1	0.00	0	0	3	442	1	201304072316
9780142419205	A		3	0	0.00	2	8.31	2	1	18	637	4	201304072316
9780142419212	A		3	0	0.00	2	8.31	2	3	13	552	6	201304072316
9780142419229	A		3	0	0.00	2	0.00	1	0	0	136	3	201304072316
9780142419236	A		1	0	8.50	2	8.50	1	1	1	116	2	201304072316
9780142419250	A		2	0	0.00	2	0.00	0	0	0	78	2	201304072316
9780142419267	A		2	0	0.00	2	8.09	0	0	3	88	2	201304072316
9780142419335	A		4	0	0.00	3	5.65	0	2	28	882	6	201304072316
9780142419625	A		2	0	0.00	2	9.33	0	1	16	1198	3	201304072316
9780142419670	A		4	0	0.00	3	8.31	1	1	16	806	5	201304072316
9780142419779	A		24	0	10.99	7	10.69	1	13	1018	22652	37	201304072316
9780142419809	A		3	0	0.00	3	10.72	0	0	88	8063	3	201304072316
9780142419854	A		4	0	0.00	3	9.64	0	2	98	3203	6	201304072316
9780142419908	A		3	0	0.00	2	0.00	0	0	0	79	3	201304072316
9780142420171	A		3	0	0.00	2	4.84	0	0	12	341	3	201304072316
9780142420522	A		2	0	0.00	2	0.00	0	0	0	416	2	201304072316
9780142420591	A		16	1	0.00	4	9.26	1	5	128	3670	22	201304072316
9780142420980	A		4	0	0.00	3	10.43	0	0	58	3386	4	201304072316
9780142421017	A		3	0	0.00	2	8.99	0	0	4	260	3	201304072316
9780142421147	A		4	0	7.99	4	9.51	0	1	50	1946	5	201304072316
9780142421215	A		1	0	0.00	1	0.00	0	0	0	32	1	201304072316
9780142421376	A		9	1	8.10	7	8.64	0	4	165	5545	14	201304072316
9780142421437	A		3	0	0.00	3	9.84	0	0	15	665	3	201304072316
9780142421710	A		40	10	0.00	8	10.09	0	17	1164	1235	67	201304072316
9780142421949	A		20	0	9.99	8	9.58	0	5	215	2696	25	201304072316
9780142421994	A		5	0	0.00	4	3.83	0	1	4	379	6	201304072316
9780142422069	A		7	2	8.10	7	8.09	0	2	200	336	11	201304072316
9780142422571	A		1	7	0.00	7	0.00	0	0	0	0	8	201304072316
9780142423387	A		9	0	0.00	7	0.00	0	0	0	90	9	201304072316
9780142423707	A		3	0	0.00	2	10.45	0	0	72	1838	3	201304072316
9780142424605	A		3	0	0.00	2	9.77	0	1	21	258	4	201304072316
9780142437148	A		2	0	0.00	2	29.40	0	0	1	684	2	201304072316
9780142437179	A		3	0	0.00	3	8.87	0	2	41	2101	5	201304072316
9780142437285	A		1	0	0.00	1	0.00	0	0	0	226	1	201304072316
9780142437346	A		7	0	0.00	6	13.20	0	10	15	1743	17	201304072316
9780142500217	A		2	2	0.00	3	0.00	0	3	3	489	7	201304072316
9780142500590	A		1	0	0.00	1	0.00	0	0	13	853	1	201304072316
9780142500729	A		1	0	0.00	1	0.00	0	0	0	0	1	201304072316
9780142501092	A		1	0	0.00	1	0.00	0	0	0	17	1	201304072316
9780142501238	A		2	0	0.00	2	0.00	0	0	0	882	2	201304072316
9780142501566	A		0	0	0.00	0	0.00	0	0	0	42	0	201304072316
9780143012313	A		3	1	0.00	4	21.76	0	0	7	2340	4	201304072316
9780143013235	A		2	0	0.00	1	21.52	0	0	1	1299	2	201304072316
9780143014270	A		3	0	0.00	2	14.40	0	0	3	7898	3	201304072316
9780143014751	A		20	0	0.00	8	0.00	0	0	0	0	20	201304072316
9780143014850	A		1	0	0.00	1	0.00	0	0	0	457	1	201304072316
9780143014966	A		1	0	0.00	1	0.00	0	0	0	231	1	201304072316
9780143015987	A		2	0	0.00	2	27.38	0	0	7	2709	2	201304072316
9780143016151	A		1	0	0.00	1	0.00	0	0	0	3021	1	201304072316
9780143016441	A		3	0	21.00	4	20.25	0	1	18	2181	4	201304072316
9780143016694	A		9	0	0.00	6	12.15	-1	0	4	26414	9	201304072316
9780143017134	A		2	0	0.00	2	21.60	0	0	1	3013	2	201304072316
9780143017387	A		6	0	0.00	5	13.12	0	1	27	27458	7	201304072316
9780143017400	A		6	0	0.00	5	13.21	0	1	29	25582	7	201304072316
